,city,openings,lat,long
250,"Minnetonka, MN",1,44.9211836,-93.4687489
251,"Worcester, MA",1,42.2625932,-71.8022934
252,"Miami, FL",1,25.7616798,-80.1917902
253,"Spartanburg, SC",1,34.9495672,-81.9320482
254,"Lake Oswego, OR",1,45.4156817,-122.7159726
255,"Gray Summit, MO",1,38.489775,-90.8168008
256,"Ellicott City, MD",1,39.2673283,-76.7983067
257,"Emeryville, CA",1,37.831316,-122.2852473
258,"Venice, CA",1,33.9850469,-118.4694832
259,"Clearwater, FL",1,27.9658533,-82.8001026
260,"Kalamazoo, MI",1,42.2917069,-85.5872286
261,"Sugar Land, TX",1,29.6196787,-95.6349463
262,"Burlington, NC",1,36.0956918,-79.43779909999999
263,"Temple Terrace, FL",1,28.0352964,-82.3892596
264,"Stony Brook, NY",1,40.9256538,-73.1409429
265,"Montvale, NJ",1,41.0467635,-74.0229173
266,"Murray, UT",1,40.6668916,-111.8879909
267,"Manhattan, NY",1,40.7830603,-73.9712488
268,"Garden Grove, CA",1,33.7742692,-117.9379952
269,"Lagrange, KY",1,38.4075666,-85.37884679999999
270,"Lakeland, FL",1,28.0394654,-81.9498042
271,"Whitehall, MI",1,43.4100107,-86.34867919999999
272,"Fort Lauderdale, FL",1,26.1224386,-80.13731740000001
273,"Sterling, VA",1,39.0066993,-77.4291298
274,"Lakewood, CO",1,39.7047095,-105.0813734
275,"Bothell, WA",1,47.76011099999999,-122.2054452
276,"Estero, FL",1,26.438136,-81.8067523
277,"Westminster, CA",1,33.7591757,-117.9897058
278,"College Park, MD",1,38.9896967,-76.93776
279,"Northbrook, IL",1,42.1275267,-87.82895479999999
280,"Birmingham, AL",1,33.5185892,-86.8103567
281,"Des Moines, IA",1,41.5868353,-93.6249593
282,"Santa Fe, NM",1,35.6869752,-105.937799
